12,0.91,0.145,0.041,0.318,0.24,0.182,0.314,0.118,0.044,0.074,0.071,0.224
10,0.217,0.222,0.213,0.341,0.049,0.049,0.089,0.401,0.082,0.059,,
9,0.163,0.161,0.162,0.164,0.188,0.168,0.16,0.221,0.188,,,
9,0.131,0.106,0.03,0.035,0.023,0.035,0.023,0.021,0.74,,,
8,0.243,0.266,0.122,0.277,0.233,0.211,1.149,0.159,,,,
12,0.692,0.133,0.679,0.244,0.093,0.02,0.744,0.627,0.246,0.242,0.041,0.035
9,0.076,0.054,0.086,0.084,0.042,0.133,0.134,0.074,0.035,,,
10,0.172,0.439,0.121,0.17,0.201,0.165,0.042,0.257,0.128,0.156,,
12,0.19,0.19,0.126,0.114,0.097,0.251,0.152,0.127,0.318,0.121,0.153,0.068
8,0.196,0.071,0.073,0.137,0.075,0.134,0.131,0.389,,,,
9,0.074,0.22,0.083,0.243,0.155,0.05,0.037,0.119,0.181,,,
11,0.015,0.165,0.155,0.164,0.039,0.048,0.033,0.029,0.051,0.107,0.621,
11,0.47,0.238,0.584,0.33,0.719,0.421,0.053,0.076,0.159,0.492,1.6619999,
12,0.717,0.95,0.383,0.105,0.048,0.088,0.2,0.18,0.442,0.06,0.064,0.103
10,0.14,0.138,0.118,0.107,0.102,0.07,0.073,0.212,0.113,0.055,,
11,0.363,0.163,0.071,0.18,0.123,0.569,0.623,0.94,0.542,0.09,0.311,
12,0.123,0.366,0.046,0.12,0.079,0.08,0.08,0.064,0.031,0.074,0.067,0.186
8,0.085,0.18,0.076,0.026,0.063,0.137,0.487,0.463,,,,
10,0.027,0.011,0.011,0.039,0.011,0.012,0.022,0.011,0.04,0.011,,
12,0.118,0.303,0.326,0.481,0.199,0.297,0.067,0.305,0.225,0.285,0.061,0.047
12,0.549,0.496,0.612,0.215,0.186,0.687,0.455,0.446,0.14,0.303,0.484,0.221
12,0.474,0.822,0.268,0.129,0.123,0.196,0.259,0.376,0.373,0.935,0.171,0.099
12,0.111,0.154,0.155,0.108,0.1,0.102,0.054,0.053,0.192,0.212,0.068,0.105
11,0.424,0.557,0.708,0.545,0.625,0.514,0.508,0.346,0.481,0.584,0.508,
9,0.145,0.173,0.158,0.069,0.058,0.045,0.093,0.118,0.057,,,
11,0.109,0.048,0.444,0.543,0.624,0.317,0.059,0.059,0.057,0.07,0.049,
10,0.296,0.252,0.169,0.264,0.298,0.36,0.097,0.142,0.161,0.267,,
10,0.02,0.315,0.218,0.02,0.024,0.023,0.215,0.012,0.021,0.011,,
8,0.043,0.035,0.03,0.038,0.062,0.591,0.077,0.06,,,,
12,0.1,0.049,0.098,0.062,0.045,0.063,0.097,0.047,0.046,0.065,0.332,0.097
11,0.798,0.555,0.94,0.327,0.228,0.354,0.33,0.381,0.128,0.108,0.112,
11,0.047,0.053,0.131,0.074,0.071,0.149,0.127,0.099,0.141,0.039,0.025,
12,1.442,0.251,0.366,0.413,0.608,0.269,0.166,1.15,1.883,0.924,0.549,0.469
11,0.11,0.109,0.128,0.094,0.058,0.027,0.035,0.115,0.107,0.05,0.03,
10,0.046,0.261,0.095,0.104,0.053,0.022,0.109,0.084,0.069,0.016,,
8,0.405,0.392,0.239,0.24,0.267,0.262,0.321,1.199,,,,
10,0.016,0.038,0.043,0.018,0.015,0.009,0.063,0.042,0.067,0.021,,
12,0.161,0.077,0.535,0.19,0.146,0.175,0.22,0.685,0.881,1.2589999,0.092,0.146
8,0.327,0.164,0.104,0.094,0.084,0.168,0.177,0.161,,,,
12,1.869,1.2920001,0.309,0.251,0.243,0.24,0.206,0.251,1.211,1.165,0.266,1.102
12,0.259,0.257,0.266,0.434,0.471,0.35,0.085,0.187,0.077,0.401,0.579,0.243
11,0.699,0.502,0.601,0.027,0.026,0.112,0.591,0.098,0.039,0.388,0.475,
9,0.055,0.063,0.403,0.958,0.789,0.843,0.994,1.0650001,0.995,,,
8,0.084,0.116,0.093,0.078,0.101,0.078,0.085,0.106,,,,
11,0.039,0.204,0.268,0.167,0.02,0.023,0.098,0.323,0.094,0.248,0.021,
9,0.038,0.223,0.131,0.011,0.039,0.036,0.265,0.024,0.031,,,
12,0.18,0.175,0.092,0.052,0.031,0.092,0.201,0.188,0.225,0.098,0.025,0.111
11,0.079,0.074,0.024,0.024,0.617,0.674,0.971,0.194,1.654,1.613,0.184,
10,0.19,0.061,0.146,0.332,0.205,0.164,0.147,0.064,0.079,0.053,,
10,0.348,0.376,0.329,0.367,0.391,0.329,0.345,0.364,0.396,0.326,,
12,0.054,0.022,0.082,0.014,0.007,0,0,0,0.073,0.031,0.093,0
10,0.096,0.191,0.188,0.169,0.08,0.06,0.172,0.225,0.085,0.065,,
11,0.45,0.579,0.142,0.088,0.573,1.169,0.54,0.459,0.368,0.043,0.229,
8,1.29,0.872,0.137,2.3039999,2.418,1.271,0.839,0.262,,,,
8,0.141,0.098,0.122,0.071,0.183,0.004,0.567,0.138,,,,
12,0.598,0.869,0.927,1.11,0.113,0.107,1.28,1.255,0.912,0.265,0.473,0.3
10,0.255,0.368,0.38,0.2,0.38,0.214,0.356,0.23,0.218,0.143,,
11,0.172,0.027,0.002,0.135,0.225,0.029,0.029,0.006,0.017,0,0.001,
11,0.091,0.125,0.148,0.141,0.026,0.037,0.509,0.207,0.182,0.179,0.062,
9,0.473,0.253,0.293,0.261,0.592,0.321,0.137,0.217,0.219,,,
12,0.038,0.042,0.094,0.03,0.046,0.086,0.037,0.126,0.07,0.038,0.036,0.047
8,0.08,0.07,0.033,0.059,0.103,0.043,0.052,0.064,,,,
11,0.13,0.177,0.149,0.127,0.276,0.137,0.574,0.202,0.18,0.351,0.407,
10,1.138,0.969,0.995,0.384,0.224,0.704,1.072,1.176,0.231,0.162,,
11,0.077,0.096,0.087,0.168,0.06,0.073,0.061,0.102,0.129,0.11,0.103,
9,0.156,0.101,0.051,0.053,0.518,0.061,0.093,0.062,0.037,,,
10,0.385,0.489,0.925,0.109,0.107,0.106,0.236,0.367,0.467,0.123,,
8,0.243,0.22,0.292,0.474,0.317,0.245,0.24,0.273,,,,
8,0.076,0.052,0.247,0.044,0.044,0.211,0.239,0.694,,,,
12,0.199,0.174,0.185,0.186,0.195,0,0,0.191,0.186,0.179,0.016,0.543
9,0.192,0.17,0.114,0.1,0.053,0.371,0.346,0.11,0.265,,,
10,0.227,0.115,0.062,0.082,0.115,0.108,0.117,0.094,0.038,0.071,,
9,0.164,0.146,0.128,0.023,0.231,0.14,0.218,0.011,0.018,,,
8,0.144,0.209,0.101,0.17,0.141,0.096,0.418,0.317,,,,
10,0.57,0.274,0.192,0.045,0.244,0.463,0.195,0.165,0.53,0.089,,
11,0.061,0.215,0.195,0.053,0.054,0.101,0.183,0.065,0.417,0.047,0.052,
12,0.024,0.1,0.102,0.029,0.023,0.03,0.064,0.112,0.138,0.039,0.048,0.471
10,0.725,0.24,0.256,0.176,0.302,0.202,0.205,0.099,0.201,0.199,,
9,0.076,0.084,0.043,0.054,0.117,0.142,0.143,0.043,0.076,,,
8,0.207,0.289,0.312,0.242,0.014,0.041,0.316,0.505,,,,
12,0.261,0.23,0.216,0.181,0.132,0.092,0.167,0.596,0.214,0.109,0.103,0.096
12,1.063,0.976,0.221,0.214,0.22,0.209,0.203,1.374,0.576,0.572,0.206,0.327
8,0.05,0.062,0,0.023,0.062,0.024,0,0.054,,,,
12,1.183,0.069,0.112,0.072,0.188,0.195,0.174,0.832,0.209,0.079,0.131,0.136
8,0.206,0.081,0.236,0.08,0.079,0.058,0.425,0.259,,,,
8,0.325,0.265,0.098,0.128,0.163,0.241,0.238,0.3,,,,
9,0.287,0.077,0.289,0.484,0.178,0.054,0.034,0.085,0.211,,,
10,0.181,0.096,0.086,0.101,0.177,0.199,0.306,0.091,0.063,0.065,,
10,0.077,0.038,0.077,0.04,0.011,0.047,0.07,0.044,0.11,0.01,,
10,0.044,0.093,0.294,0.183,0.103,0.111,0.13,0.117,0.035,0.035,,
12,1.0470001,0.315,0.152,0.15,0.287,0.108,0.52,0.257,0.226,0.178,0.137,0.134
10,0.034,0.655,0.26,0.077,1.557,0.156,0.315,0.513,1.147,0.328,,
8,0.053,0.034,0.905,0.328,0.189,0.148,0.346,0.057,,,,
9,0.633,0.091,0.089,0.623,1.206,1.295,1.145,0.551,0.298,,,
12,0.272,0.534,0.297,0.415,0.269,0.205,0.222,0.125,0.326,0.232,0.068,0.074
12,0.208,0.117,0.052,0.043,0.088,0.093,0.204,0.06,0.059,0.058,0.062,0.053
9,0.234,0.627,0.366,0.686,0.194,0.747,0.089,0.118,0.318,,,
9,0.092,0.082,0.042,0.026,0.073,0.026,0.796,0.214,0.025,,,
