3,0.118,0.041,0.281,,
5,0.221,0.208,0.16,0.09,0.088
4,0.163,0.175,0.188,0.202,
4,0.041,0.03,0.035,0.043,
3,0.114,0.104,0.208,,
3,1.09,0.247,0.779,,
4,0.089,0.1,0.086,0.082,
5,0.095,0.394,0.097,0.206,0.141
3,0.169,0.164,0.032,,
3,0.941,0.12,0.131,,
4,0.163,1.0880001,0.131,0.086,
3,0.043,0.025,0.013,,
5,0.402,0.47,0.147,0.046,0.302
3,0.262,0.251,0.16,,
3,0.138,0.107,0.055,,
5,0.272,0.477,0.126,0.604,0.032
3,0.108,0.064,0.083,,
3,0.057,0.067,0.102,,
3,0.011,0.041,0.011,,
3,0.134,0.098,0.309,,
5,0.978,0.709,0.304,0.3,0.446
4,0.181,0.849,0.235,0.568,
5,0.148,0.054,0.192,0.155,0.103
4,0.398,0.441,0.606,0.595,
5,0.089,0.06,0.059,0.06,0.051
5,0.143,0.754,0.244,0.444,0.104
3,0.215,0.131,0.32,,
3,0.408,0.016,0.117,,
3,0.061,0.065,0.371,,
5,0.045,0.045,0.045,0.151,0.097
5,1.237,1.772,1.036,0.48,0.175
4,0.092,0.131,0.137,0.073,
3,0.234,1.48,0.469,,
5,0.109,0.118,0.097,0.056,0.148
5,0.106,0.105,0.034,0.083,0.016
4,0.262,0.431,0.262,0.23,
5,0.039,0.042,0.052,0.051,0.028
5,0.737,0.068,0.188,0.685,0.633
3,0.226,0.11,0.165,,
4,0.255,0.263,0.229,0.324,
3,0.343,0.184,0.081,,
3,0.699,0.059,0.273,,
3,0.99,0.995,0.046,,
4,0.078,0.065,0.105,0.107,
3,0.252,0.029,0.169,,
4,0.012,0.13,0.01,0.04,
3,0.074,0.201,0.046,,
5,0.033,0.025,0.142,1.081,1.654
5,0.162,0.057,0.064,0.065,0.087
3,0.329,0.494,0.284,,
5,0.014,0.014,0.028,0.096,0.174
3,0.223,0.1,0.069,,
3,0.077,1.3279999,1.534,,
3,0.123,2.3039999,1.239,,
5,0.772,0.027,0.013,0,0.567
4,1.039,2.0669999,0.912,0.108,
5,0.243,0.34,0.795,0.312,0.218
3,0.029,0.015,0,,
4,0.071,0.064,0.174,0.041,
3,0.371,0.352,0.25,,
5,0.168,0.077,0.024,0.031,0.025
5,0.114,0.029,0.225,0.045,0.049
4,0.142,0.392,0.409,0.207,
5,0.326,0.652,1.099,0.593,1.087
3,0.178,0.099,0.076,,
3,0.078,0.056,0.062,,
3,0.383,0.419,0.676,,
4,0.274,0.642,0.312,0.121,
5,0.146,0.053,0.148,0.172,0.649
4,0.18,0.175,0.205,0.188,
4,0.172,0.905,0.058,0.11,
3,0.051,0.105,0.048,,
5,0.033,0.054,0.034,0.022,0.011
5,0.362,0.141,0.266,0.394,0.174
3,0.463,0.234,0.11,,
5,0.192,0.048,0.183,0.092,0.105
4,0.086,0.367,0.093,0.034,
3,0.299,0.105,0.09,,
3,0.042,0.081,0.113,,
3,0.016,0.038,0.016,,
3,0.128,0.167,0.803,,
4,1.024,0.209,0.226,0.202,
3,0.058,0.012,0.061,,
3,0.243,0.072,1.163,,
3,0.088,0.133,0.087,,
4,0.263,0.349,0.061,0.074,
4,0.303,0.057,0.381,0.085,
5,0.065,0.123,0.082,0.175,0.064
5,0.005,0.036,0.072,0.155,0.087
5,0.294,0.256,0.636,0.054,0.182
5,0.469,0.133,0.108,0.165,0.134
5,0.263,0.513,0.563,1.147,0.328
5,0.167,0.171,0.3,0.138,0.346
3,1.76,0.438,0.089,,
4,0.214,0.223,0.306,0.074,
5,0.056,0.088,0.169,0.223,0.156
3,0.258,0.339,0.286,,
4,0.107,0.138,0.796,0.026,
4,0.334,0.242,0.304,0.114,
4,0.686,0.035,1.372,0.653,
3,0.244,0.725,0.345,,
3,0.404,0.724,0.034,,
4,0.136,0.013,0.374,0.128,
4,0.122,0.767,0.197,0.231,
5,0.018,0.098,0.195,0.257,0.078
5,0.151,0.011,0.577,0.157,0.07
5,0.226,0.261,0.268,0.063,0.058
3,0.108,0.096,0.039,,
5,0.321,0.342,0.283,0.524,0.568
5,0.211,0.076,0.432,0.216,0.107
4,0.582,0.39,0.577,0.647,
3,0.044,0.17,0.136,,
5,0.219,0.043,0.071,0.331,0.079
4,0.025,0.06,0.048,0.013,
5,0.054,0.045,0.09,0.175,0.069
3,0.55,0.55,0.161,,
5,0.216,0.266,0.473,0.485,0.533
3,0.041,0.087,0.052,,
3,0.149,0.168,0.249,,
5,0.221,0.027,0.108,0.048,0.197
5,0.173,0.118,0.106,0.042,0.087
4,0.029,0.04,0.134,0.104,
3,1.498,1.283,1.6059999,,
3,0.216,0.21,0.071,,
3,0.123,1.518,0.04,,
3,0.334,0.162,0.085,,
5,0.465,0.246,0.086,0.13,1.622
5,0.063,0.069,0.108,0.098,0.08
5,0.254,1.719,0.097,0.099,1.153
5,0.374,0.114,0.106,0.507,0.085
3,0.114,0.245,0.087,,
4,0.129,0.101,0.029,0.055,
5,0.014,0.5,0.024,0.012,0.044
5,0,0,0,0,0
5,0.012,0.114,0.045,0.018,0.036
3,0.017,0.196,0.019,,
3,0.14,0.133,0.228,,
4,0.132,0.345,0.144,0.092,
4,0.678,0.077,0.116,0.131,
5,0.145,0.244,0.09,0.066,0.085
5,0.112,0.182,0.077,1.228,0.043
4,0.11,0.206,0.091,0.094,
3,0.085,0.19,0.029,,
3,0.115,0.022,0.447,,
5,0.755,0.459,0.408,0.174,0.473
3,0.076,0.172,0.059,,
4,0.146,0.097,0.2,0.069,
5,0.046,0.222,0.035,0.037,0.069
3,0.126,0.108,0.153,,
5,0.039,0.072,0.069,0.06,0.169
5,0.574,0.241,0.041,0.201,0.199
4,0.099,0.317,0.254,0.094,
5,0.56,0.197,1.704,0.539,0.033
5,0.118,0.014,0.01,0.151,0.015
3,0.024,0.034,0.016,,
3,0.079,0.19,0.024,,
4,0.225,0.05,1,0.178,
3,0.551,0.191,0.264,,
4,0.762,0.198,1.119,0.237,
5,0.127,0.136,0.037,0.057,0.04
3,0.133,0.15,0.087,,
3,0.242,0.11,0.196,,
4,0.099,0.092,0.06,0.075,
4,0.167,0.05,0.204,0.302,
5,0.201,0.068,0.115,0.863,1.393
3,0.323,0.365,0.155,,
4,0.022,0.054,0.022,0.022,
5,0.072,0.135,0.042,0.03,0.05
4,0.219,0.253,0.04,0.188,
5,0.126,0.036,0.057,0.043,0.116
5,1.526,0.779,0.801,0.913,0.92
5,0.039,0.172,0.25,0.116,0.084
5,0.02,0.022,0,0,0.011
5,1.245,0.204,0.062,1.858,0.783
4,0.018,0.06,0.057,0.013,
5,0.165,0.107,0.174,0.068,0.056
5,0.257,0.291,0.133,0.123,0.159
4,0.385,0.025,0.27,0.045,
3,0.035,0.09,0.159,,
3,0.174,0.099,0.216,,
4,0.165,0.105,0.088,0.22,
4,0.774,0.119,0.497,0.11,
4,0.045,0.044,0.043,0.044,
3,0.231,0.297,0.245,,
4,0.058,0.523,0.418,0.056,
5,0.133,0.134,0.134,0.111,0.072
4,0.06,0.033,0.066,0.05,
3,0.46,0.911,0.997,,
3,0.232,0.185,0.137,,
3,0.128,0.291,0.273,,
5,0.054,0.042,0.051,0.038,0.036
4,0.538,1.455,0.649,0.561,
5,0.099,0.096,0.995,0.473,0.082
3,1.818,0.099,0.255,,
3,0.187,0.191,0.14,,
3,0.154,0.134,0.028,,
3,0.396,0.101,0.143,,
5,0.799,0.414,0.817,0.454,0.538
3,0.017,0.024,0.817,,
3,0.894,0.132,0.621,,
4,0.543,0.326,0.87,1.6289999,
4,2.7379999,1.332,1.273,0.183,
4,0.153,0.064,0.111,0.192,
5,0.261,0.148,1.051,0.365,0.482
5,0.086,0.098,0.034,0.033,0.058
4,0.161,0.077,0.102,0.188,
3,0.086,0.094,0.025,,
4,0.023,0.02,0.04,0.091,
3,0.176,0.11,0.089,,
5,0.018,0.034,0.022,0.026,0.014
5,0.381,0.332,0.309,0.291,0.281
4,0.079,0.051,0.07,0.037,
5,1.3200001,1.7130001,0.832,0.341,0.962
5,0.098,0.191,0.279,0.08,1.383
5,0.381,0.436,0.865,1.286,0.075
5,0.615,0.536,1.624,0.345,0.251
5,0.202,0.074,0.122,0.059,0.896
5,0.59,0.524,0.535,0.93,0.317
4,0.224,0.19,0.126,0.066,
5,0.034,0.016,0.015,0.013,0.027
5,0.327,0.335,0.061,0.108,0.107
3,0.631,0.614,0.577,,
3,0.27,0.612,0.094,,
4,0.211,0.113,0.048,0.022,
4,0.307,0.175,0.116,0.117,
3,0.979,0.874,0.457,,
5,0.098,0.071,0.066,0.025,0.202
3,0.103,0.905,0.046,,
4,1.141,0.687,0.57,0.281,
4,0.032,0.17,0.807,0.058,
4,0.552,0.69,1.095,0.161,
3,0.071,0.032,0.084,,
4,0.009,0.035,0,0.051,
4,0.095,0.164,0.13,0.212,
4,0.059,0.079,0.113,0.114,
5,0.04,0.131,0.103,0.041,0.057
4,0.316,0.366,0.441,0.321,
3,0.224,0.095,0.327,,
4,0.035,0.389,0.39,0.037,
5,0.317,0.299,0.345,0.111,0.077
4,0.448,0.147,0.148,0.134,
5,1.564,0.217,0.117,0.329,0.226
4,0.312,0.966,0.084,0.06,
4,0.092,0.25,0.032,0.756,
4,0.884,0.503,0.283,0.257,
3,0.084,0.026,0.087,,
4,0.08,0.064,0.077,0.09,
4,0.367,0.906,0.02,0.033,
3,0.941,1.227,0.049,,
5,0.342,0.468,0.419,0.056,0.064
5,0.073,0.162,0.133,0.151,0.151
4,0.971,0.499,0.311,1.923,
5,0.147,0.051,0.168,0.133,0.005
3,0.073,0.036,0.028,,
5,0.068,0.251,0.276,0.512,0.648
4,0.212,0.56,0.426,0.164,
3,0.132,0.409,0.228,,
3,0.158,0.331,0.243,,
5,0.092,0.174,0.126,0.15,0.151
5,0.122,0.108,0.104,0.036,0.077
5,1.721,0.902,1.408,2.6989999,1.732
3,0.501,0.083,0.039,,
5,0.439,0.057,0.129,0.236,0.827
4,0.572,0.21,0.206,0.179,
5,0.411,0.424,0.357,0.163,0.17
4,0.046,0.154,0.443,0.06,
4,0.501,0.141,0.102,0.285,
3,0.357,0.176,0.632,,
3,0.588,0.038,0.037,,
4,0.102,0.22,0.083,0.237,
5,0.381,0.044,0.098,0.11,1.008
4,0.091,0.32,0.172,0.117,
4,0.034,0.031,0.027,0.034,
3,0.338,0.156,0.215,,
3,0,0,0,,
3,0.105,0.17,0.101,,
4,0.211,0.065,0.083,0.264,
3,1.073,0.175,0.064,,
4,0.138,0.248,0.922,0.192,
5,0.158,0.359,0.085,0.107,0.23
3,0.036,0.033,0.053,,
3,0.043,0.24,0.102,,
5,0.107,0.088,0.107,0.054,0.334
5,0.25,0.188,0.777,0.347,0.077
5,0.082,0.867,0.121,0.225,0
4,0.048,0.184,0.037,0.055,
5,1.0039999,0.281,0.926,0.981,0.462
5,0.107,0.116,0.085,0.06,0.056
5,0.16,0.076,0.392,0.956,0.054
5,0.157,0.135,0.037,0.176,0.164
3,0.05,0.024,0.037,,
3,0.97,0.197,0.33,,
3,0.466,0.39,0.116,,
3,0.12,0.331,0.145,,
4,0.04,0.223,0,0.159,
4,0.029,0.035,0.03,0.015,
4,0.392,0.116,0.53,0.112,
5,0.083,0.113,0.091,0.106,0.083
4,0.1,0.081,0.116,0.103,
4,0.126,0.035,0.07,0.148,
3,0.535,0.37,0.431,,
5,0.972,0.195,0.383,0.237,1.443
5,0.696,0.651,1.081,0.871,1.136
4,0.158,0.165,0.368,0.188,
4,0.051,0.054,0.13,0.052,
3,0.105,0.119,0.067,,
5,0.191,0.617,0.286,0.26,0.328
3,0.407,0.221,0.339,,
4,0.571,0.161,0.111,0.1,
5,1.368,0.847,1.253,1.073,0.466
3,0.87,0.782,0.152,,
3,0.11,0.047,0.048,,
3,0.059,0.193,0.036,,
3,0.235,0.159,0.083,,
5,0.223,0.236,0.141,0.193,0.222
5,0.694,0.298,0.312,0.649,0.265
4,0.018,0.108,0.295,0.743,
4,0.632,0.093,0.651,0.695,
5,0.121,0.078,0.932,2.7520001,0.581
5,0.252,0.063,0.196,0.084,0.085
3,0.215,0.026,0.295,,
5,0.221,0.125,0.065,0.172,0.217
3,0.437,0.361,0.213,,
3,0.262,0.077,0.132,,
